file,text
/audio/audio1 (1).wav,Tell me the meaning of
/audio/audio1 (2).wav,Tell me the meaning of
/audio/audio1 (3).wav,Tell me the meaning of
/audio/audio1 (4).wav,Tell me the meaning of
/audio/audio1 (5).wav,Tell me the meaning of
/audio/audio1 (6).wav,Tell me the meaning of
/audio/audio1 (7).wav,Tell me the meaning of
/audio/audio1 (8).wav,Tell me the meaning of
/audio/audio1 (9).wav,Tell me the meaning of
/audio/audio1 (10).wav,Tell me the meaning of
/audio/audio1 (11).wav,Tell me the meaning of
/audio/audio1 (12).wav,Tell me the meaning of
/audio/audio1 (13).wav,Tell me the meaning of
/audio/audio1 (14).wav,Tell me the meaning of
/audio/audio1 (15).wav,Tell me the meaning of
/audio/audio2 (1).wav,Whats the meaning of
/audio/audio2 (2).wav,What is the meaning of
/audio/audio2 (3).wav,What is the meaning of
/audio/audio2 (4).wav,Whats the meaning of
/audio/audio2 (5).wav,Whats the meaning of
/audio/audio2 (6).wav,What is the meaning of
/audio/audio2 (7).wav,What is the meaning of
/audio/audio2 (8).wav,What is the meaning of
/audio/audio2 (9).wav,What is the meaning of
/audio/audio2 (10).wav,What is the meaning of
/audio/audio2 (11).wav,What is the meaning of
/audio/audio2 (12).wav,What is the meaning of
/audio/audio2 (13).wav,What is the meaning of
/audio/audio2 (14).wav,What is the meaning of
/audio/audio2 (15).wav,What is the meaning of
